,SECID,SECNAME,SHORTNAME,COUPONVALUE,COUPONPERCENT,MATDATE,NEXTCOUPON,STATUS,FACEVALUE,DELTA
1245,RU000A102L79,Минфин Челябинской обл 35003,Челяб35003,14.96,6.0,2027-12-17,2023-03-24,A,1000.0,4 years 11 months
1244,RU000A102L61,Минфин Челябинской обл 35002,Челяб35002,14.96,6.0,2027-12-17,2023-03-24,A,1000.0,4 years 11 months
1188,RU000A102FV5,Минфин Челябинской обл 35001,Челяб35001,14.96,6.0,2027-11-30,2023-03-07,A,1000.0,4 years 11 months
316,RU000A0JXS59,Почта России (АО) БО-001P-03,ПочтаРБ1P3,29.92,6.0,2027-05-19,2023-05-24,A,1000.0,4 years 4 months
1120,RU000A102A15,Санкт-Петербург обл. 35003,СПбГО35003,30.17,6.05,2027-04-13,2023-04-18,A,1000.0,4 years 3 months
774,RU000A101DD0,Россельхозбанк АО БО-02R-Р,РСХБ Б02RP,5.14,6.05,2023-01-25,2022-12-25,A,1000.0,1 months
1003,RU000A101Z17,Свердловская область 35008,СвердлОбл8,15.21,6.1,2027-07-29,2023-01-26,A,1000.0,4 years 7 months
1162,RU000A102DS6,Нижегородская область 35015,НижгорОб15,15.21,6.1,2026-05-27,2023-02-21,A,1000.0,3 years 5 months
300,RU000A0JXP45,ГПБ (АО) БО-16,ГПБ БО-16,30.42,6.1,2024-04-18,2023-04-18,A,1000.0,1 years 3 months
878,RU000A101PU8,Трансмашхолдинг АО ПБО-05,ТрансмхПБ5,30.42,6.1,2025-05-21,2023-05-24,A,1000.0,2 years 4 months
1186,RU000A102FS1,АФК Система БО 001P-16,Систем1P16,15.21,6.1,2030-11-25,2023-03-06,A,1000.0,7 years 11 months
1236,RU000A102KN2,Калининградская область 35003,КалинОбл20,15.21,6.1,2027-06-16,2023-03-22,A,1000.0,4 years 5 months
930,RU000A101T64,Славнефть БО 001Р-01,Славнеф1Р1,15.21,6.1,2030-06-04,2023-03-14,A,1000.0,7 years 5 months
1127,RU000A102AJ1,Промсвязьбанк 003P-03,Промсвб3P3,30.42,6.1,2023-10-26,2023-04-27,A,1000.0,10 months
440,RU000A0ZYU21,АЛЬФА-БАНК АО БО-40,АЛЬФА БО40,30.83,6.15,2033-03-04,2023-02-25,A,1000.0,10 years 2 months
796,RU000A101FY1,ПАО Россети Моск.рег. БО1Р02,РСетиМР1P2,30.67,6.15,2025-02-14,2023-02-17,A,1000.0,2 years 1 months
929,RU000A101T56,РОСЭКСИМБАНК 002P-02,РСЭКСМБ2Р2,30.67,6.15,2030-06-04,2023-06-13,A,1000.0,7 years 5 months
1210,RU000A102H34,Ставропольский край 35004,СтаврКрай4,15.46,6.2,2027-12-14,2023-03-14,A,1000.0,4 years 11 months
776,RU000A101DF5,Россети Ленэнерго ПАО БО-04,РСетиЛЭБО4,30.92,6.2,2025-01-29,2023-02-01,A,1000.0,2 years 1 months
902,RU000A101RJ7,Межд.Банк Эк.Сотруд. 001P-02,МБЭС 1P-02,30.92,6.2,2030-06-03,2023-06-12,A,1000.0,7 years 5 months
775,RU000A101DE8,Россети Ленэнерго ПАО БО-03,РСетиЛЭБО3,30.92,6.2,2025-01-29,2023-02-01,A,1000.0,2 years 1 months
1059,RU000A1024W4,ГруппаЧеркизово БО-001Р-03,ЧеркизБ1P3,15.46,6.2,2024-03-15,2023-03-17,A,1000.0,1 years 2 months
818,RU000A101HJ8,Магнит ПАО БО-002Р-01,Магнит2Р01,30.92,6.2,2023-03-02,2023-03-02,A,1000.0,2 months
802,RU000A101GJ0,Газпром нефть БО 003Р-03R,Газпнф3P3R,15.46,6.2,2025-02-20,2023-02-23,A,1000.0,2 years 1 months
1967,XS1760804184,Republic of Belarus 28/02/30,BLR-30,31.0,6.2,2030-02-28,2023-02-28,A,1000.0,7 years 2 months
1289,RU000A102S80,АЛЬФА-БАНК Б2Р10,АЛЬФАБ2Р10,31.08,6.2,2024-02-22,2023-02-21,A,1000.0,1 years 2 months
237,RU000A0JWRV9,Мобильные ТелеСистемы ПАО БО-2,МТС БО-02,31.16,6.25,2031-08-15,2023-02-24,A,1000.0,8 years 7 months
60,RU000A0JU6A1,"""Россельхозбанк"" (АО) обл.22",РСХБ 22,31.16,6.25,2023-09-18,2023-03-20,A,1000.0,8 months
1273,RU000A102R73,ПАО ОТКРЫТИЕ ФК Банк БО-П07,ОткрФКБП07,31.16,6.25,2026-02-06,2023-02-10,A,1000.0,3 years 1 months
790,RU000A101FC7,Ростелеком ПАО 002P-03R,Ростел2P3R,31.16,6.25,2023-02-14,2023-02-14,A,1000.0,1 months
